categoria,camion,cantidad_total,numero_productos,stock_estimado,stock_minimo,demanda_semanal,unidades_transito,tiempo_reposicion_dias,dias_sin_reposicion,tiene_incidencia,rotacion_producto,riesgo_operativo,anomalia_dbscan,cluster_meanshift
Alimentos,Camión 06,81,3,125,38,55,73,2,1,1,Alta,Riesgo,0,0
Tecnología,Camión 03,24,3,126,35,53,98,1,26,0,Baja,Normal,0,0
Tecnología,Camión 06,61,1,137,44,31,86,2,28,0,Alta,Normal,0,0
Ropa,Camión 01,61,1,74,24,123,71,9,9,0,Baja,Riesgo,0,0
Muebles,Camión 03,98,5,117,12,134,91,2,22,0,Media,Normal,0,0
Alimentos,Camión 01,28,2,111,32,133,22,15,8,0,Baja,Normal,0,0
Electrodoméstico,Camión 01,58,1,116,38,39,67,10,27,0,Alta,Normal,0,0
Tecnología,Camión 01,43,1,112,43,17,13,15,39,1,Alta,Riesgo,0,0
Ropa,Camión 01,41,6,51,42,107,62,10,19,1,Media,Riesgo,0,0
Ropa,Camión 03,39,2,95,50,66,92,17,25,0,Alta,Normal,0,0
Alimentos,Camión 01,86,5,22,50,120,64,9,38,0,Alta,Riesgo,0,0
Tecnología,Camión 01,49,1,153,32,82,67,18,21,0,Media,Normal,0,0
Muebles,Camión 06,17,5,108,16,124,62,4,24,0,Media,Normal,0,0
Tecnología,Camión 03,98,4,155,12,29,95,9,24,0,Baja,Riesgo,0,0
Alimentos,Camión 03,70,5,44,41,34,96,16,19,1,Media,Riesgo,0,0
Alimentos,Camión 05,110,3,142,40,28,89,4,2,1,Alta,Riesgo,0,0
Tecnología,Camión 03,70,3,93,27,14,80,16,14,0,Media,Riesgo,0,0
Alimentos,Camión 03,98,5,65,52,84,86,19,32,1,Alta,Riesgo,0,0
Tecnología,Camión 05,65,3,9,16,137,63,1,32,0,Baja,Riesgo,0,0
Electrodoméstico,Camión 03,74,4,126,50,81,31,6,28,0,Media,Normal,0,0
Tecnología,Camión 03,85,2,59,10,49,78,10,39,0,Alta,Riesgo,0,0
Tecnología,Camión 03,5,3,41,23,35,12,16,13,0,Media,Normal,0,0
Alimentos,Camión 03,2,3,60,41,36,65,4,12,0,Media,Normal,0,0
Alimentos,Camión 05,22,5,106,15,92,18,13,8,0,Media,Normal,0,0
Ropa,Camión 03,112,4,97,48,137,23,16,15,0,Media,Riesgo,0,0
Ropa,Camión 03,57,7,77,19,42,87,6,26,0,Baja,Normal,0,0
Electrodoméstico,Camión 05,66,7,63,16,106,10,11,12,1,Alta,Riesgo,0,0
Ropa,Camión 06,74,7,6,35,120,58,3,27,0,Media,Riesgo,0,0
Tecnología,Camión 01,98,7,108,43,25,85,10,18,0,Alta,Riesgo,0,0
Alimentos,Camión 06,16,2,55,39,32,14,1,36,0,Baja,Riesgo,0,0
Ropa,Camión 05,112,5,34,45,144,9,11,27,0,Alta,Riesgo,0,0
Ropa,Camión 01,51,5,15,30,35,40,12,9,0,Alta,Riesgo,0,0
Electrodoméstico,Camión 05,39,6,112,26,105,26,14,39,1,Baja,Riesgo,0,0
Electrodoméstico,Camión 05,86,4,80,42,21,59,8,1,0,Media,Normal,0,0
Tecnología,Camión 03,76,7,171,19,81,72,11,7,1,Alta,Riesgo,0,0
Alimentos,Camión 01,88,2,94,56,142,51,4,26,0,Alta,Normal,0,0
Electrodoméstico,Camión 03,111,4,127,51,115,27,7,7,0,Media,Normal,0,0
Ropa,Camión 01,40,7,129,21,126,64,10,7,1,Media,Riesgo,0,0
Alimentos,Camión 05,38,2,126,25,35,16,19,8,1,Alta,Riesgo,0,0
Alimentos,Camión 05,60,4,98,50,142,94,4,16,1,Baja,Riesgo,0,0
Ropa,Camión 06,59,5,107,41,31,43,2,3,0,Media,Normal,0,0
Electrodoméstico,Camión 01,10,5,166,24,22,9,18,10,1,Media,Normal,0,0
Ropa,Camión 03,99,1,35,36,116,62,14,7,1,Baja,Riesgo,0,0
Alimentos,Camión 06,64,3,56,37,32,92,16,21,1,Alta,Riesgo,0,0
Muebles,Camión 06,115,7,93,26,106,81,11,37,0,Media,Riesgo,0,0
Muebles,Camión 06,63,6,80,55,27,46,10,31,0,Alta,Riesgo,0,0
Tecnología,Camión 03,49,4,133,59,126,37,17,23,1,Alta,Riesgo,0,0
Ropa,Camión 06,64,6,26,11,39,69,14,27,0,Alta,Riesgo,0,0
Ropa,Camión 03,32,1,44,45,35,75,4,22,0,Baja,Riesgo,0,0
Tecnología,Camión 06,7,3,105,59,153,52,19,39,0,Alta,Normal,0,0
Tecnología,Camión 03,21,4,115,16,48,77,2,27,0,Alta,Normal,0,0
Tecnología,Camión 05,20,2,133,22,139,43,7,4,0,Media,Normal,0,0
Alimentos,Camión 05,26,7,69,24,122,73,9,24,0,Media,Normal,0,0
Ropa,Camión 05,68,3,174,34,143,53,19,23,1,Baja,Riesgo,0,0
Alimentos,Camión 05,110,5,153,32,55,19,16,19,0,Baja,Riesgo,0,0
Tecnología,Camión 05,116,1,83,31,59,78,16,3,0,Media,Riesgo,0,0
Ropa,Camión 06,86,3,26,35,115,30,18,27,0,Media,Riesgo,0,0
Alimentos,Camión 06,15,7,170,42,155,6,11,3,0,Baja,Normal,0,0
Alimentos,Camión 06,104,3,103,20,81,57,7,28,0,Alta,Normal,0,0
Tecnología,Camión 03,85,7,12,19,83,9,9,17,0,Baja,Riesgo,0,0
Ropa,Camión 03,79,5,179,34,26,9,4,31,0,Alta,Normal,0,0
Tecnología,Camión 03,86,4,21,46,79,38,13,10,1,Media,Riesgo,0,0
Ropa,Camión 03,116,2,21,57,159,27,4,22,0,Media,Riesgo,0,0
Muebles,Camión 05,92,5,94,52,15,29,19,30,0,Media,Riesgo,0,0
Electrodoméstico,Camión 05,14,2,145,47,35,36,2,21,0,Alta,Normal,0,0
Electrodoméstico,Camión 05,27,4,149,50,149,66,9,36,0,Baja,Normal,0,0
Electrodoméstico,Camión 01,105,3,170,54,108,42,12,23,0,Alta,Riesgo,0,0
Tecnología,Camión 06,40,2,85,33,151,78,2,38,1,Baja,Riesgo,0,0
Muebles,Camión 03,58,1,82,49,31,84,6,12,0,Baja,Normal,0,0
Ropa,Camión 03,28,1,177,55,60,51,5,25,0,Baja,Normal,0,0
Alimentos,Camión 05,26,7,10,42,113,55,5,20,0,Media,Riesgo,0,0
Ropa,Camión 03,113,5,167,26,98,75,5,7,0,Baja,Normal,0,0
Alimentos,Camión 03,63,4,114,33,150,67,4,29,1,Media,Riesgo,0,0
Ropa,Camión 06,66,7,18,46,147,8,9,29,0,Baja,Riesgo,0,0
Muebles,Camión 05,25,5,76,11,18,91,10,13,0,Baja,Normal,0,0
Alimentos,Camión 06,3,5,147,41,88,22,16,3,0,Media,Normal,0,0
Tecnología,Camión 01,72,7,58,33,61,62,10,2,0,Media,Riesgo,0,0
Ropa,Camión 01,44,6,31,18,139,60,10,16,0,Alta,Riesgo,0,0
Ropa,Camión 01,97,5,17,13,22,39,19,30,0,Baja,Riesgo,0,0
Alimentos,Camión 05,42,6,163,26,60,43,10,38,1,Media,Riesgo,0,0
Tecnología,Camión 03,116,1,167,26,43,85,6,6,0,Alta,Normal,0,0
Tecnología,Camión 05,99,1,64,59,44,23,17,7,0,Alta,Riesgo,0,0
Muebles,Camión 05,6,5,10,57,140,50,5,5,0,Media,Riesgo,0,0
Tecnología,Camión 03,39,1,62,39,129,57,6,7,1,Baja,Riesgo,0,0
Tecnología,Camión 06,52,4,53,49,79,89,15,34,0,Alta,Riesgo,0,0
Tecnología,Camión 01,23,6,155,20,156,93,19,32,1,Baja,Normal,0,0
Electrodoméstico,Camión 06,89,6,166,30,76,32,18,13,1,Baja,Riesgo,0,0
Muebles,Camión 01,50,5,30,30,112,15,4,30,1,Alta,Riesgo,0,0
Ropa,Camión 05,43,1,51,27,82,21,8,25,0,Media,Riesgo,0,0
Alimentos,Camión 01,19,2,9,38,125,56,16,21,0,Baja,Riesgo,0,0
Ropa,Camión 05,69,7,24,33,142,61,19,21,0,Media,Riesgo,0,0
Muebles,Camión 06,51,7,138,19,76,81,3,28,0,Alta,Normal,0,0
Alimentos,Camión 05,11,6,63,54,148,70,10,20,0,Baja,Riesgo,0,0
Muebles,Camión 06,12,5,150,26,130,89,2,34,0,Media,Normal,0,0
Tecnología,Camión 03,74,5,136,27,103,71,4,5,1,Media,Riesgo,0,0
Alimentos,Camión 03,8,4,21,51,138,69,6,18,0,Baja,Riesgo,0,0
Tecnología,Camión 03,24,3,18,57,100,29,11,39,0,Media,Riesgo,0,0
Ropa,Camión 05,92,3,17,29,101,22,14,11,0,Media,Riesgo,0,0
Ropa,Camión 03,41,6,139,46,72,31,16,17,0,Alta,Normal,0,0
Alimentos,Camión 01,36,7,132,54,38,85,19,22,0,Alta,Normal,0,0
Alimentos,Camión 06,101,4,48,27,21,56,2,37,0,Media,Riesgo,0,0
Muebles,Camión 06,85,4,123,26,86,8,17,20,0,Media,Riesgo,0,0
Muebles,Camión 01,72,4,147,18,50,30,9,6,0,Baja,Riesgo,0,0
Tecnología,Camión 05,55,6,23,23,139,70,17,34,1,Alta,Riesgo,0,0
Alimentos,Camión 05,9,3,67,58,46,8,15,14,0,Baja,Normal,0,0
Ropa,Camión 06,47,7,167,38,33,12,7,23,1,Media,Riesgo,0,0
Muebles,Camión 03,15,4,85,40,108,57,19,20,0,Baja,Normal,0,0
Muebles,Camión 05,48,7,167,13,159,2,3,13,0,Media,Normal,0,0
Ropa,Camión 05,110,1,151,27,109,34,1,32,0,Alta,Normal,0,0
Muebles,Camión 01,104,5,152,29,148,96,4,26,0,Alta,Normal,0,0
Tecnología,Camión 01,82,5,104,56,67,20,18,14,0,Media,Riesgo,0,0
Alimentos,Camión 03,42,7,167,52,38,63,8,36,0,Alta,Normal,0,0
Ropa,Camión 05,60,2,164,53,152,94,19,8,0,Media,Normal,0,0
Alimentos,Camión 05,84,2,126,18,69,51,6,22,0,Baja,Normal,0,0
Muebles,Camión 01,70,6,48,22,104,33,1,22,1,Media,Riesgo,0,0
Muebles,Camión 05,12,6,108,24,51,95,8,16,0,Baja,Normal,0,0
Ropa,Camión 06,2,5,156,36,52,34,1,27,0,Media,Normal,0,0
Tecnología,Camión 01,7,1,65,24,83,14,19,10,0,Alta,Riesgo,0,0
Electrodoméstico,Camión 03,80,3,129,37,73,95,11,25,0,Media,Riesgo,0,0
Ropa,Camión 01,3,3,149,46,11,5,15,31,0,Media,Normal,0,0
Electrodoméstico,Camión 05,109,6,75,28,75,84,11,21,0,Media,Riesgo,0,0
Electrodoméstico,Camión 03,3,1,111,35,40,96,19,27,0,Alta,Normal,0,0
Tecnología,Camión 01,27,6,54,35,124,31,10,17,1,Media,Riesgo,0,0
Electrodoméstico,Camión 06,114,3,69,34,35,51,12,33,0,Alta,Riesgo,0,0
Electrodoméstico,Camión 06,107,7,103,35,38,82,1,31,0,Media,Normal,0,0
Tecnología,Camión 01,40,6,36,35,87,96,7,26,0,Baja,Riesgo,0,0
